id,user_id,title,description,layout_type,settings,stats,tags,is_public,created_at,updated_at
bacbfabc-99ec-46b4-a9fe-4334794eaa83,f3dedf79-5c5e-40fd-9513-d0fb0995d429,我的创作脉络,,tree,"{""theme"":""tianjin"",""autoSave"":true,""gridSize"":20,""showGrid"":true,""layoutType"":""tree"",""snapToGrid"":false}","{""maxDepth"":0,""totalNodes"":0,""cultureNodes"":0,""lastActivityAt"":1771148304378,""aiGeneratedNodes"":0}","[]",false,"""2026-02-15T09:38:24.868Z""","""2026-02-15T09:38:24.868Z"""
8b26d122-3ce8-45f8-97cd-41d93aa84bdb,478c134c-c5c2-4c01-827b-d142352d4873,我的创作脉络,,tree,"{""theme"":""tianjin"",""autoSave"":true,""gridSize"":20,""showGrid"":true,""layoutType"":""tree"",""snapToGrid"":false}","{""maxDepth"":0,""totalNodes"":7,""cultureNodes"":0,""lastActivityAt"":""2026-02-22 14:12:30.687683+00"",""aiGeneratedNodes"":7}","[]",false,"""2026-02-13T13:33:44.887Z""","""2026-02-22T14:12:30.687Z"""
1a90dd6b-77c7-4bcc-840c-0d1da4d06fb1,f3dedf79-5c5e-40fd-9513-d0fb0995d429,我的创作脉络,,tree,"{""theme"":""tianjin"",""autoSave"":true,""gridSize"":20,""showGrid"":true,""layoutType"":""tree"",""snapToGrid"":false}","{""maxDepth"":0,""totalNodes"":0,""cultureNodes"":0,""lastActivityAt"":1771145747703,""aiGeneratedNodes"":0}","[]",false,"""2026-02-15T08:55:48.175Z""","""2026-02-15T08:55:48.175Z"""
168c113c-3c9c-48d6-a11c-d7fc2562c616,f3dedf79-5c5e-40fd-9513-d0fb0995d429,我的创作脉络,,tree,"{""theme"":""tianjin"",""autoSave"":true,""gridSize"":20,""showGrid"":true,""layoutType"":""tree"",""snapToGrid"":false}","{""maxDepth"":0,""totalNodes"":0,""cultureNodes"":0,""lastActivityAt"":1771145747704,""aiGeneratedNodes"":0}","[]",false,"""2026-02-15T08:55:48.174Z""","""2026-02-15T08:55:48.174Z"""
c3c0ccde-b5f0-4cce-a842-16b05eaab16c,f3dedf79-5c5e-40fd-9513-d0fb0995d429,我的创作脉络,,tree,"{""theme"":""tianjin"",""autoSave"":true,""gridSize"":20,""showGrid"":true,""layoutType"":""tree"",""snapToGrid"":false}","{""maxDepth"":0,""totalNodes"":0,""cultureNodes"":0,""lastActivityAt"":1771146709381,""aiGeneratedNodes"":0}","[]",false,"""2026-02-15T09:11:49.782Z""","""2026-02-15T09:11:49.782Z"""
5eca3f54-3c52-4676-9ace-e049aa403175,f3dedf79-5c5e-40fd-9513-d0fb0995d429,我的创作脉络,,tree,"{""theme"":""tianjin"",""autoSave"":true,""gridSize"":20,""showGrid"":true,""layoutType"":""tree"",""snapToGrid"":false}","{""maxDepth"":0,""totalNodes"":0,""cultureNodes"":0,""lastActivityAt"":1771146709379,""aiGeneratedNodes"":0}","[]",false,"""2026-02-15T09:11:49.788Z""","""2026-02-15T09:11:49.788Z"""
6887c527-3843-438e-ad72-58ef44b460cc,f3dedf79-5c5e-40fd-9513-d0fb0995d429,我的创作脉络,,tree,"{""theme"":""tianjin"",""autoSave"":true,""gridSize"":20,""showGrid"":true,""layoutType"":""tree"",""snapToGrid"":false}","{""maxDepth"":0,""totalNodes"":0,""cultureNodes"":0,""lastActivityAt"":1771148304378,""aiGeneratedNodes"":0}","[]",false,"""2026-02-15T09:38:24.947Z""","""2026-02-15T09:38:24.947Z"""
5ab0eab2-7c98-411e-b8a4-740ab876d53c,06dbee08-83b6-4d14-a5c1-d0794c8a168e,我的创作脉络,,timeline,"{""theme"":""tianjin"",""autoSave"":true,""gridSize"":20,""showGrid"":true,""layoutType"":""timeline"",""snapToGrid"":false}","{""maxDepth"":0,""totalNodes"":24,""cultureNodes"":0,""lastActivityAt"":""2026-03-02 11:37:42.050765+00"",""aiGeneratedNodes"":24}","[]",false,"""2026-02-22T13:42:54.225Z""","""2026-03-02T11:37:42.050Z"""
055a672d-3483-492b-a813-b1dbf863a253,f3dedf79-5c5e-40fd-9513-d0fb0995d429,我的创作脉络,,tree,"{""theme"":""tianjin"",""autoSave"":true,""gridSize"":20,""showGrid"":true,""layoutType"":""tree"",""snapToGrid"":false}","{""maxDepth"":0,""totalNodes"":0,""cultureNodes"":0,""lastActivityAt"":""2026-02-13 14:37:42.800304+00"",""aiGeneratedNodes"":0}","[]",false,"""2026-02-13T13:54:37.624Z""","""2026-02-13T13:54:37.624Z"""
2ef506d7-a8cd-4c22-b7bc-b2f2836d1c0a,f3dedf79-5c5e-40fd-9513-d0fb0995d429,我的创作脉络,,tree,"{""theme"":""tianjin"",""autoSave"":true,""gridSize"":20,""showGrid"":true,""layoutType"":""tree"",""snapToGrid"":false}","{""maxDepth"":0,""totalNodes"":0,""cultureNodes"":0,""lastActivityAt"":1771146221022,""aiGeneratedNodes"":0}","[]",false,"""2026-02-15T09:03:41.819Z""","""2026-02-15T09:03:41.819Z"""
ef0b6103-9ba5-4e90-b344-4d1173fb405f,f3dedf79-5c5e-40fd-9513-d0fb0995d429,我的创作脉络,,tree,"{""theme"":""tianjin"",""autoSave"":true,""gridSize"":20,""showGrid"":true,""layoutType"":""tree"",""snapToGrid"":false}","{""maxDepth"":0,""totalNodes"":0,""cultureNodes"":0,""lastActivityAt"":1771147052643,""aiGeneratedNodes"":0}","[]",false,"""2026-02-15T09:17:33.113Z""","""2026-02-15T09:17:33.113Z"""
24d1c232-7978-40d4-889a-f9b6f66fa3b3,f3dedf79-5c5e-40fd-9513-d0fb0995d429,我的创作脉络,,tree,"{""theme"":""tianjin"",""autoSave"":true,""gridSize"":20,""showGrid"":true,""layoutType"":""tree"",""snapToGrid"":false}","{""maxDepth"":0,""totalNodes"":0,""cultureNodes"":0,""lastActivityAt"":1771148427902,""aiGeneratedNodes"":0}","[]",false,"""2026-02-15T09:40:28.365Z""","""2026-02-15T09:40:28.365Z"""
015388c0-16f4-4cb0-89b7-caa1aef1c395,f3dedf79-5c5e-40fd-9513-d0fb0995d429,我的创作脉络,,tree,"{""theme"":""tianjin"",""autoSave"":true,""gridSize"":20,""showGrid"":true,""layoutType"":""tree"",""snapToGrid"":false}","{""maxDepth"":0,""totalNodes"":0,""cultureNodes"":0,""lastActivityAt"":1771146221023,""aiGeneratedNodes"":0}","[]",false,"""2026-02-15T09:03:41.822Z""","""2026-02-15T09:03:41.822Z"""
8dcecf40-9ec8-457b-8873-1e290bbc66c2,f3dedf79-5c5e-40fd-9513-d0fb0995d429,我的创作脉络,,tree,"{""theme"":""tianjin"",""autoSave"":true,""gridSize"":20,""showGrid"":true,""layoutType"":""tree"",""snapToGrid"":false}","{""maxDepth"":0,""totalNodes"":0,""cultureNodes"":0,""lastActivityAt"":1771147052643,""aiGeneratedNodes"":0}","[]",false,"""2026-02-15T09:17:33.128Z""","""2026-02-15T09:17:33.128Z"""
bf7e4729-11ee-441d-a7eb-930e40ffa0b3,f3dedf79-5c5e-40fd-9513-d0fb0995d429,我的创作脉络,,tree,"{""theme"":""tianjin"",""autoSave"":true,""gridSize"":20,""showGrid"":true,""layoutType"":""tree"",""snapToGrid"":false}","{""maxDepth"":0,""totalNodes"":174,""cultureNodes"":1,""lastActivityAt"":""2026-03-03 14:49:39.722358+00"",""aiGeneratedNodes"":170}","[]",false,"""2026-02-15T09:40:28.452Z""","""2026-03-03T14:49:39.722Z"""
5fc6b774-c094-4614-8892-d32a990e9cae,f3dedf79-5c5e-40fd-9513-d0fb0995d429,我的创作脉络,,tree,"{""theme"":""tianjin"",""autoSave"":true,""gridSize"":20,""showGrid"":true,""layoutType"":""tree"",""snapToGrid"":false}","{""maxDepth"":0,""totalNodes"":0,""cultureNodes"":0,""lastActivityAt"":1771146241648,""aiGeneratedNodes"":0}","[]",false,"""2026-02-15T09:04:02.196Z""","""2026-02-15T09:04:02.196Z"""
72b84b2e-ffeb-4d75-b94e-d6e1ea3ef53f,f3dedf79-5c5e-40fd-9513-d0fb0995d429,我的创作脉络,,tree,"{""theme"":""tianjin"",""autoSave"":true,""gridSize"":20,""showGrid"":true,""layoutType"":""tree"",""snapToGrid"":false}","{""maxDepth"":0,""totalNodes"":0,""cultureNodes"":0,""lastActivityAt"":""2026-02-13 14:37:42.800304+00"",""aiGeneratedNodes"":0}","[]",false,"""2026-02-12T00:14:10.821Z""","""2026-02-12T00:14:10.821Z"""
866d8ece-839d-47c6-ad2d-2fbd14baee88,f3dedf79-5c5e-40fd-9513-d0fb0995d429,我的创作脉络,,tree,"{""theme"":""tianjin"",""autoSave"":true,""gridSize"":20,""showGrid"":true,""layoutType"":""tree"",""snapToGrid"":false}","{""maxDepth"":0,""totalNodes"":1,""cultureNodes"":1,""lastActivityAt"":""2026-02-13 14:37:42.800304+00"",""aiGeneratedNodes"":0}","[]",false,"""2026-02-12T00:14:10.827Z""","""2026-02-12T00:14:34.737Z"""
b35cab4b-8262-4747-86da-8280cdc0f27e,f3dedf79-5c5e-40fd-9513-d0fb0995d429,我的创作脉络,,tree,"{""theme"":""tianjin"",""autoSave"":true,""gridSize"":20,""showGrid"":true,""layoutType"":""tree"",""snapToGrid"":false}","{""maxDepth"":0,""totalNodes"":0,""cultureNodes"":0,""lastActivityAt"":""2026-02-13 14:37:42.800304+00"",""aiGeneratedNodes"":0}","[]",false,"""2026-02-12T00:22:56.245Z""","""2026-02-12T00:22:56.245Z"""
4d0fbf79-1ca1-4e89-ab60-188b3eadd67c,f3dedf79-5c5e-40fd-9513-d0fb0995d429,我的创作脉络,,tree,"{""theme"":""tianjin"",""autoSave"":true,""gridSize"":20,""showGrid"":true,""layoutType"":""tree"",""snapToGrid"":false}","{""maxDepth"":0,""totalNodes"":0,""cultureNodes"":0,""lastActivityAt"":""2026-02-13 14:37:42.800304+00"",""aiGeneratedNodes"":0}","[]",false,"""2026-02-12T00:22:56.245Z""","""2026-02-12T00:22:56.245Z"""
98ba272c-9adb-4466-8252-4a43229f16e2,f3dedf79-5c5e-40fd-9513-d0fb0995d429,我的创作脉络,,tree,"{""theme"":""tianjin"",""autoSave"":true,""gridSize"":20,""showGrid"":true,""layoutType"":""tree"",""snapToGrid"":false}","{""maxDepth"":0,""totalNodes"":0,""cultureNodes"":0,""lastActivityAt"":""2026-02-13 14:37:42.800304+00"",""aiGeneratedNodes"":0}","[]",false,"""2026-02-12T00:23:58.679Z""","""2026-02-12T00:23:58.679Z"""
